0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.004864182,0.00801968,0.03074258,0.9563736
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.80791724,0.013900983,0.037786793,0.14039497
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.08324577,0.8674408,0.0123733785,0.036940083
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.061075397,0.29137442,0.030710638,0.61683965
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.02087391,0.047040083,0.8081519,0.12393411
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,True,0.05388945,0.42387336,0.010948306,0.5112889
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.0978686,0.071602196,0.3014565,0.52907264
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.0106473155,0.028942404,0.0019695552,0.9584408
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,True,0.44994503,0.35041755,0.085873514,0.11376392
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,0.24304199,0.6206295,0.10131498,0.03501352
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,0.0024999338,0.97751564,0.015313951,0.0046704914
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.19131787,0.116040155,0.43114147,0.2615005
How many bits are required to store one BCD digit ?,1,2,3,4,D,True,0.022613043,0.25879258,0.057744425,0.66085
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.98839253,0.0013959566,0.00052163086,0.009689859
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.10380063,0.5611409,0.086053744,0.24900477
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.01032434,0.74676776,0.21395256,0.028955327
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,True,0.99627835,0.0028871698,0.00038467813,0.0004497343
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,True,0.0066823107,0.059558786,0.0021026824,0.9316562
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.40793747,0.38322178,0.05876897,0.15007181
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.21741569,0.3815764,0.06426795,0.33674
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,True,0.97343856,0.006981995,0.0047986503,0.014780884
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.05547637,0.69729406,0.047451455,0.1997781
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,True,0.04254796,0.42971918,0.37922585,0.14850698
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,False,0.15977846,0.5753844,0.099986814,0.16485038
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,True,0.1354236,0.04130186,0.043965604,0.779309
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,True,0.0033588365,0.0035754628,0.0016889292,0.99137676
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.07567619,0.1101082,0.2189763,0.5952393
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,True,0.96487504,0.011059045,0.0006538506,0.023411999
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,True,0.04365345,0.8236802,0.05605214,0.0766142
A Binary number system has how many digits.,0,1,2,10,C,True,0.039128937,0.17536372,0.73830885,0.047198504
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.14911138,0.11612806,0.2458431,0.48891738
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,False,0.017412007,0.00076503016,0.0009823182,0.9808406
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,True,0.0014769587,0.0003095874,0.00035633292,0.99785715
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,True,0.03480475,0.078433715,0.79215246,0.09460912
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.0016685962,0.0179391,0.00095073745,0.97944164
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.35666582,0.04826947,0.4041553,0.19090945
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,True,0.00070972997,0.004084214,0.9388252,0.056380834
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.99705136,0.0007537476,0.00032928796,0.0018655433
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,True,0.022273403,0.041612193,0.19852068,0.73759377
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,True,0.15005302,0.4078864,0.12439832,0.31766224
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.027937606,0.9251664,0.01319679,0.033699185
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,True,0.049504153,0.8243182,0.07667354,0.049504153
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.05699197,0.43448454,0.17014658,0.3383769
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,True,0.016519977,0.9601316,0.008306766,0.015041609
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,True,0.5687586,0.009193127,0.005935529,0.4161127
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,True,0.00023035913,0.99912935,0.00030517628,0.00033517057
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,True,0.010598772,0.002364906,0.9843566,0.0026797894
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,False,0.33113873,0.27452365,0.06319893,0.33113873
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,True,0.04862583,0.021577582,0.012294535,0.9175021
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.10706996,0.791146,0.032654494,0.069129564
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.00017636389,0.00045745313,0.0016996446,0.9976666
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,True,0.0028216965,0.004509058,0.018983843,0.9736854
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,False,0.0071856626,0.008667564,0.357215,0.6269318
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,True,0.0072267847,0.0035220536,0.012683402,0.9765678
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,True,0.0031410712,0.9868952,0.003909126,0.006054573
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,True,0.0017875991,0.0025209186,0.985721,0.009970426
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,True,0.947084,0.003110047,0.008193882,0.04161197
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,True,5.3893018e-05,0.00010717906,0.99961543,0.00022338034
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,True,0.006189303,0.977817,0.010862566,0.005131113
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.0022599446,0.001209661,0.08480379,0.91172665
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,True,0.03335829,0.01266138,0.8338524,0.120127834
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,False,0.049194876,0.29208344,0.17715757,0.48156416
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,True,0.07791226,0.739211,0.16494028,0.017936423
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,False,0.14731216,0.034989707,0.74811286,0.06958534
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,True,0.006639134,0.005170563,0.0028554562,0.9853349
Low frequency supply is necessary for direct core type induction furnaces because,With normal frequeny supply the electromagnetic forces causes severe stirring action in the molten metal.,Magnetic coupling between the primary and secondary circuit is poor.,Both A and B.,None of the above.,C,True,0.32083744,0.021833261,0.63806146,0.019267786
"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A,False,0.039040234,0.14965652,0.14058928,0.67071396
Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,False,0.16759913,0.13052633,0.07916822,0.6227063
A latch is ________ sensitive,both level and edge,edge,level,,C,False,0.8831387,0.07026208,0.033189457,0.013409752
What is used to protect the SCR from over current ?,CB and fuse.,Heat sink.,Snubber circuit.,Voltage clamping device.,A,False,0.028929181,0.007546628,0.9580029,0.0055212313
The errors mainly caused by human mistakes are,gross error.,instrumental error.,observational error.,systematic error.,A,True,0.84726036,0.0073302384,0.011353294,0.13405605
Electrical analogous quantity for dash-pot in force-current analogy is,resistance.,conductance.,inductance.,capacitance.,B,False,0.6511853,0.06863442,0.008725887,0.2714544
Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C,False,0.8629678,0.066544935,0.055167682,0.015319513
Power dissipation in ideal inductor is,Maximum,Minimum,Zero,A finite value,C,True,0.01231124,0.05873364,0.91874874,0.010206376
For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B,False,0.16201161,0.13431235,0.17246045,0.5312156
