0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.028497009,0.1455702,0.27116534,0.5547675
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.2446836,0.0703774,0.41197473,0.27296427
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.17125914,0.25434348,0.3686248,0.20577256
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.08980278,0.261891,0.14238767,0.50591856
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.041732077,0.13723569,0.6477194,0.17331281
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,True,0.043324485,0.16607973,0.16869509,0.6219007
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,True,0.14936842,0.07055664,0.42385212,0.35622284
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.038751993,0.056826048,0.13212451,0.77229744
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.13489468,0.19627061,0.3695577,0.29927695
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,0.078425676,0.13031621,0.62780493,0.16345315
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,0.07275469,0.3979443,0.28887656,0.24042442
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.098076984,0.17079093,0.41453564,0.3165964
How many bits are required to store one BCD digit ?,1,2,3,4,D,True,0.018049864,0.29821825,0.2631767,0.42055514
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.36216834,0.07741189,0.25184855,0.30857128
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,True,0.085900225,0.18762335,0.46801436,0.2584621
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.040049873,0.54429996,0.31013277,0.105517365
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,True,0.6407084,0.0778787,0.16358618,0.11782671
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,True,0.035535805,0.16821253,0.19285662,0.603395
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.39735997,0.17359371,0.22289874,0.20614764
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.09767533,0.18827413,0.11804928,0.59600127
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.2764144,0.083809115,0.32379293,0.31598356
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.09435371,0.36169472,0.2687887,0.27516285
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.08197058,0.226328,0.44312873,0.24857269
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,False,0.06924533,0.13191885,0.29903075,0.49980512
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.33265784,0.111862525,0.23681296,0.3186667
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,True,0.017306235,0.031831037,0.14265682,0.8082059
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.15730569,0.093382746,0.44550416,0.30380744
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,False,0.34661022,0.12286564,0.18017055,0.35035363
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,False,0.109186396,0.26294968,0.30029798,0.3275659
A Binary number system has how many digits.,0,1,2,10,C,True,0.035627577,0.19110203,0.59790534,0.17536509
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.103855245,0.08215626,0.3646206,0.44936782
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,False,0.02332324,0.012680626,0.088798024,0.8751981
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,True,0.06707489,0.027960973,0.1282841,0.77668005
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,True,0.068886004,0.17990229,0.5292789,0.22193284
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.022824114,0.15176736,0.14257224,0.68283623
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.10174332,0.17442863,0.431715,0.29211298
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,True,0.0141814975,0.028647413,0.81780636,0.13936472
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.41956547,0.10043714,0.2390612,0.24093619
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,True,0.13667534,0.10479262,0.36150092,0.3970311
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,True,0.09535349,0.35601532,0.2716368,0.27699438
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.061570898,0.2969107,0.3387517,0.30276674
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,False,0.15045182,0.122795194,0.5886906,0.13806234
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.053370163,0.2699794,0.23456216,0.4420883
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,True,0.078388244,0.50273967,0.20411943,0.21475257
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,False,0.19731522,0.06481398,0.15792912,0.5799417
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,True,0.01629627,0.76700914,0.13328621,0.08340838
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,True,0.025944259,0.010605992,0.93991935,0.02353042
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,True,0.08713176,0.24748915,0.38294455,0.28243455
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,True,0.058083016,0.052679006,0.19803342,0.69120455
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.23343939,0.27721614,0.24084955,0.24849494
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.025091792,0.03679468,0.20482382,0.73328966
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,True,0.014279735,0.03168098,0.27799174,0.6760475
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,True,0.044186994,0.066332534,0.57302564,0.31645483
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,True,0.050382324,0.028041985,0.20399141,0.71758425
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,True,0.059863966,0.5283765,0.18803084,0.22372869
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,True,0.05997977,0.107764125,0.57018477,0.26207134
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,False,0.20671965,0.06763841,0.30313435,0.42250755
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,True,0.0058487086,0.01370531,0.9385592,0.041886806
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,True,0.054000847,0.43609798,0.24201502,0.26788622
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.08758083,0.026245223,0.3948167,0.4913573
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,True,0.05270483,0.06688591,0.60317487,0.2772344
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,True,0.01691931,0.1373051,0.47181195,0.37396365
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,False,0.2341219,0.19715041,0.43739727,0.13133049
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,False,0.06647326,0.10175633,0.5901599,0.24161054
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,True,0.0517498,0.108701766,0.22611187,0.6134365
Low frequency supply is necessary for direct core type induction furnaces because,With normal frequeny supply the electromagnetic forces causes severe stirring action in the molten metal.,Magnetic coupling between the primary and secondary circuit is poor.,Both A and B.,None of the above.,C,True,0.067041926,0.03790207,0.81355375,0.081502266
"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A,False,0.10326652,0.15025191,0.22511472,0.52136683
Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,False,0.07497264,0.095517606,0.30296203,0.5265477
A latch is ________ sensitive,both level and edge,edge,level,,C,True,0.2890982,0.21316764,0.39054674,0.10718742
What is used to protect the SCR from over current ?,CB and fuse.,Heat sink.,Snubber circuit.,Voltage clamping device.,A,False,0.09847072,0.041048706,0.78672934,0.07375116
The errors mainly caused by human mistakes are,gross error.,instrumental error.,observational error.,systematic error.,A,False,0.21902226,0.13706063,0.30385968,0.34005752
Electrical analogous quantity for dash-pot in force-current analogy is,resistance.,conductance.,inductance.,capacitance.,B,False,0.31238845,0.10628482,0.23146826,0.34985846
Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C,True,0.087907694,0.13943395,0.61739314,0.15526524
Power dissipation in ideal inductor is,Maximum,Minimum,Zero,A finite value,C,True,0.017369505,0.042989932,0.83039665,0.109243914
For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B,False,0.0687069,0.13452157,0.3233314,0.4734401
In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D,True,0.02981502,0.07978914,0.41481176,0.47558403
Which of the following are the passive elements?,Resistor,Bulb,Both,None of these.,C,True,0.051212855,0.034115113,0.7125165,0.20215555
The main advantage of dielectric heating is that,heating occurs in the material itself.,heating occurs due to high frequency.,it can be used for drying the explosives.,None of the above.,A,False,0.13821225,0.22787347,0.37569985,0.25821447
Materials used in heat sink should have,high thermal conductivity.,large surface area.,high melting point.,All of these.,D,True,0.02155501,0.02923293,0.11469072,0.8345213
Conductor is static and the field is varying then emf will be induced. This principle is called,virtually induced emf.,dynamically induced emf.,static induced emf.,none of these,C,False,0.03815605,0.1792102,0.2775662,0.5050676
"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,400 MVA,125 MVA,100 MVA,A,False,0.07623352,0.1486761,0.27506417,0.5000263
"According to the Bohr model, an electron gains or losses energy only by",moving faster or slower in an allowed orbit.,jumping from one allowed orbit to another.,being completely removed from an atom.,jumping from one atom to another atom.,B,True,0.07577387,0.41934377,0.30679846,0.19808397
A three-state buffer has the following output states,"1, 0, float","High, Low, Float",Both A and B,"Set, Reset, Halt",C,True,0.11156281,0.1007886,0.48201087,0.30563766
"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,D,True,0.02782694,0.05038808,0.14580274,0.7759822
"Four capacitors each of 40 µF are connected in parallel, the equivalent capacitance of the system will be",160 µF,10 µF,40 µF,5 µF,A,False,0.16333821,0.078370534,0.56126773,0.19702351
"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",R Ω,2R Ω,4R Ω,8R Ω,C,True,0.04717346,0.124285504,0.5591891,0.26935196
A single phase full bridge inverter can operated in load commutation mode in case load consist of,RL.,RLC underdamped.,RLC overdamped.,RLC critically damped.,B,False,0.26202756,0.15954977,0.24328434,0.33513835
A microprocessor is ALU,and control unit on a single chip.,and memory on a single chip.,register unit and I/O device on a single chip.,register unit and control unit on a single chip.,D,False,0.56741685,0.052829556,0.12673151,0.25302213
"To obtain a high value of capacitance, the permittivity of dielectric medium should be",low,zero,high,unity,C,True,0.03090699,0.0056727263,0.9246542,0.03876605
Deflection method direct measurements are most widely used as these are,least time consuming.,most simple.,most simple and least time consuming.,most accurate.,C,True,0.007262055,0.026981808,0.77176374,0.19399242
Purely mechanical instrument cannot be used for dynamic measurements because they have,high inertia.,higher response time.,large time constant.,all of the above.,D,True,0.03217408,0.06758247,0.37073854,0.5295049
Advantages of higher transmission voltage is/are,Power transfer capability of the transmission line is increased,Transmission line losses are reduced,Area of cross section and volume of the conductor is reduced,all of the above,D,True,0.012669964,0.04422252,0.12162625,0.8214812
Under over voltage condition impedance offered by the voltage clamping device is,high.,low.,moderate.,infinity.,B,True,0.19432531,0.31053096,0.21678554,0.27835816
A long wire composed of a smooth round conductor runs above and parallel to the ground (assumed to be a large conducting plane). A high voltage exists between the conductor and the ground. The maximum electric stress occurs at,lower surface of the conductor.,upper surface of the conductor.,the ground surface.,midway between the conductor and ground.,A,False,0.11454863,0.1788079,0.27264947,0.43399402
In a dc machine 6 pole wave winding is used. The number of parallel paths are?,6,4,2,1,C,False,0.0564648,0.07207866,0.35826525,0.5131913
Which of the following is a digital device,Regulator of a fan,Microphone,Resistance of a material,Light switch,D,True,0.11616509,0.18454678,0.25571787,0.4435702
Instantaneous power in inductor is proportional to the,product of the instantaneous current and rate of change of current.,square of instantaneous current.,square of the rate of change of current.,temperature of the inductor.,A,False,0.31800967,0.08103606,0.47738907,0.12356525
Which of the following is a variable displacement transducer?,tachometer,potentiometer,synchros,none of the above,B,True,0.052955683,0.36401305,0.3256625,0.2573688
"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",5 µF,25 µF,10 µF,1 µF,D,False,0.024642115,0.053823326,0.6765166,0.24501808
Susceptibility is negative for,non magnetic substances.,diamagnetic substances.,ferromagnetic substances.,none of above.,B,False,0.08126465,0.30430293,0.3251966,0.28923583
One of the following is the primary function of an oscillator,produces sinusoidal oscillations,generates non sinusoidal waveforms,generates sustained oscillations at a constant amplitude and specific frequency,none of the above,C,True,0.026328605,0.018524487,0.9137262,0.04142071
The metal surfaces for electrical resistance welding must be,rough.,clean.,moistened,coloured,B,True,0.06508876,0.49234977,0.33184174,0.11071971
The latching current of SCR is 20 mA. Its holding current will be,23 mA.,40 mA.,10 mA.,60 mA.,C,False,0.116920136,0.22187544,0.31350625,0.3476982
"In force-current analogy, electrical analogous quantity for displacement (x) is",voltage.,inductance.,capacitance.,flux.,D,False,0.191114,0.10472183,0.3582704,0.3458938
Feedback circuit in an oscillator can be accomplished by,Resistive coupling between input and output,Capacitive coupling between input and output,Inductive coupling between input and output,Any one or combinations of the above methods,D,True,0.07247603,0.109225236,0.2114644,0.60683435
"Lowest critical frequency is due to zero and it may be present at the origin or nearer to the origin, then the type of network is",LC circuit.,RC circuit.,RLC circuit.,RL Circuit.,D,False,0.16097747,0.12294452,0.399202,0.316876
What is the value of dielectric constant of air?,Less than 1,0.,1.,none of these.,C,True,0.09284667,0.119217485,0.39550686,0.392429
Temperature variation is a/an,Digital quantity,Analog quantity,Either Digital or Analog quantity,,B,True,0.04664981,0.5317974,0.28709337,0.13445944
The illumination at a point 5 meters below a lamp in 6 lux. The candle power of the lamp is,30,140.,150.,200.,C,True,0.08037076,0.10985381,0.52204,0.28773534
For a dc machine shunt resistance and armature resistance values are,high and high,high and low,low and low,low and high,B,False,0.09531542,0.17531188,0.24626555,0.48310715
The change of cross sectional area of conductor in magnetic field will affect,reluctance of conductor.,resistance of conductor.,(A) and (B) both in the same way.,none of above.,C,True,0.08208665,0.1821172,0.3707722,0.3650239
Which of the following is used in SCR to protect from high dV / dt?,Snubber circuit.,Fuse.,Equalizing circuit.,Circuit breaker.,A,True,0.59167695,0.0755177,0.18837403,0.14443138
"What are the sets of commands in a program which are not translated into machine instructions during assembly process, called?",Mnemonics,Directives,Identifiers,Operands,B,False,0.4178209,0.30212298,0.2096836,0.07037252
Speed of data transmission in 4-G network of telecom is,386 kbps - 2 mbps.,2 mbps.,2 mbps – 1 gbps.,100 mbps - 1 gbps.,D,False,0.11373258,0.087543085,0.5258941,0.27283028
Which of the followings is/are active element?,Voltage source,Current source,Both,None of these.,C,True,0.06417787,0.07681085,0.5971255,0.2618858
Electrical analogous quantity for spring element (K) in force-voltage analogy is,L,R,1/C,C,C,True,0.0771975,0.050825506,0.5748905,0.2970865
A quartz crystal oscillator consists of,only series resonant frequency.,only parallel resonant frequency.,both series and parallel frequencies.,neither series nor parallel frequency.,C,True,0.08952727,0.124296315,0.6798601,0.10631627
Which of the following oscillators are used for low frequency (LF) applications,LC oscillators,RC oscillators,Both LC and RC Oscillators,,B,False,0.07652885,0.039702643,0.7484027,0.13536574
The solid angle subtended by an area of 2400 cm^2 on the surface of a sphere of diameter 1.2 m is,3 / 2.,1 / 3.,2 / 3.,2 / 5.,C,True,0.16980426,0.23574987,0.32730627,0.2671396
Relative error is same as,ratio of absolute error and true value.,absolute error.,true error.,none of the above.,A,False,0.09617205,0.07727641,0.38185653,0.44469503
If holding current of a thyristor is 2 mA then latching current should be,0.01 A.,0.002 A.,0.009 A.,0.004 A.,D,True,0.15013716,0.20581526,0.23192747,0.41212013
"In an intel 8085A, which is the first machine cycle of an instruction?",An op-code fetch cycle,A memory read cycle,A memory write cycle,An I/O read cycle,A,True,0.5868515,0.13938944,0.16043626,0.11332282
Which of the following are the disadvantages of a closed loop control system?,Reduces the overall gain.,Complex and costly.,Oscillatory response.,All of the above.,D,True,0.025937885,0.037154306,0.1548297,0.78207815
"Poles and zeros are arranged alternatively on negative real axis, then type of network is/are",LC network.,RC network.,RL network.,Both 2 and 3.,D,True,0.08089361,0.08746686,0.17259493,0.65904456
The magnetisation and applied field in ferromagnetic materials are related,sinusoidally.,non linearly.,linearly.,parabolically.,B,False,0.039511107,0.38376075,0.38526276,0.19146535
Thin laminations are used in a machine in order to reduce,Eddy current losses,Hysteresis losses,Both A and B,Copper losses,A,False,0.032836586,0.040232226,0.8535087,0.07342253
A metal surface with 1 meter radius and surface charge density of 20 coulombs / m2 is enclosed in a 10 m side cube. The total outward electric displacement normal to the surface of the cube is,40π coulombs.,80π coulombs.,10π coulombs.,none of these.,B,False,0.089474574,0.25253558,0.24345474,0.41453508
In binary number system the first digit (bit) from right to left is called as,"LSB, Least Significant Bit","MSB, Most Significant Bit",First Bit,Last Bit,A,False,0.280534,0.13148364,0.25743246,0.33054984
In two wattmeter method of power measurement if the total power is measured by one wattmeter only then power factor of the system is,0.,0.5.,1.,none of above.,B,False,0.04844829,0.110251345,0.5127929,0.32850745
A 0 - 100 V voltmeter has a guaranteed accuracy of 2 % of full scale reading. The voltage measured by the voltmeter is 75 V. The limiting error is in percentage,3.33 %.,2.66 %.,2 %.,1 %.,B,False,0.11535943,0.17728175,0.52156913,0.18578967
Which of the following methods is/are used for reactive or voltage compensation,shunt capacitor,series capacitor,generation excitation control,all of the above,D,True,0.033861462,0.061315186,0.11277589,0.79204744
The ROM programmed during manufacturing process itself is called,MROM,PROM,EPROM,EEPROM,A,False,0.29179928,0.3358589,0.2535196,0.11882225
In 8085 name/names of the 16 bit registers is/are,stack pointer.,program counter.,both A and B.,none of these.,C,True,0.037044957,0.04946151,0.69354755,0.21994606
Stability of a transmission line can be increased by,shunt capacitor,series capacitor,shunt reactor,both A and B,D,False,0.0826815,0.08732906,0.43322006,0.39676937
Snubber circuit is used with SCR,in series.,in parallel.,either series or parallel.,anti parallel.,B,False,0.28651392,0.16198029,0.3402437,0.2112621
The number of rings in the Bohr model of any element is determined by what?,Column number on periodic table.,Atomic mass.,Row number on periodic table.,Atomic number.,C,False,0.043863576,0.022228979,0.25840333,0.6755041
Silicon and Germanium are ________ elements.,trivalant,pentavalant,hexavalant,tetravalant,D,True,0.013611811,0.031157745,0.12615363,0.8290769
The number of output pins in 8085 microprocessors are,27.,40.,21.,19.,A,False,0.08300743,0.07268374,0.58070487,0.26360396
If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,3P,P/3,None of the above,A,False,0.08123827,0.22794962,0.3413585,0.3494536
Which oscillators are easy to fabricate in a monolithic IC?,Crystal oscillator.,Hartley oscillator.,Wien bridge oscillator.,Relaxation oscillator.,D,False,0.25209287,0.13706052,0.3740273,0.23681936
"If all the elements in a particular network are linear, then the superposition theorem would hold, when the excitation is",DC only,AC only,Either AC or DC,An Impulse,C,True,0.05339731,0.049384438,0.7144481,0.18277009
The feedback factor of a Wien bridge oscillator using Op-Amp is,1/3,1/4,1/2,1,C,True,0.06785171,0.13336715,0.49940544,0.29937577
"The length of bus cycle in 8086/8088 is four clock cycles, T1, T2, T3, T4 and an indeterminate number of wait state clock cycles denoted by Tw. The wait states are always inserted between",T1 & T2,T2 & T3,T3 & T4,T4 & T1,C,True,0.13778399,0.20846051,0.3383648,0.31539068
Which of the following is not a sinusoidal oscillator?,LC oscillator,RC phase shift oscillator,Relaxation oscillator,Crystal oscillator,C,True,0.13973275,0.06009831,0.50319695,0.296972
