0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.022405973,0.7715412,0.063331954,0.14272077
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.047460537,0.058149863,0.15775931,0.73663026
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.015694486,0.04167377,0.90505606,0.03757565
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.069329195,0.10166454,0.17634809,0.6526582
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.08935907,0.20058869,0.59418696,0.11586531
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.10366412,0.7482361,0.104886085,0.043213636
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,True,0.062072996,0.17961416,0.18750018,0.57081264
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,True,0.09551525,0.05233804,0.08903001,0.7631167
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.041040584,0.80837834,0.100001626,0.050579473
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,True,0.023854354,0.5140288,0.39721066,0.06490622
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.014242153,0.050492816,0.77759516,0.1576698
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.005009312,0.829376,0.11580683,0.0498079
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.14986381,0.21986806,0.19915625,0.43111184
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.10037216,0.46958703,0.23751077,0.19253002
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.06061537,0.35848692,0.32768357,0.25321424
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.09326707,0.10163669,0.2861628,0.5189335
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.1567027,0.06778064,0.4209995,0.3545171
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.11227394,0.19399197,0.31242964,0.3813044
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.07680942,0.4989077,0.35934976,0.06493317
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.10417293,0.15335739,0.3625356,0.37993404
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.054129254,0.0423209,0.046844967,0.85670495
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.050259434,0.22349426,0.41106886,0.31517744
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,True,0.015846867,0.082224734,0.20671296,0.69521546
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.09251282,0.20484817,0.40107328,0.30156568
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.012242757,0.046203684,0.13527074,0.80628276
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.04246929,0.16216673,0.44254017,0.3528238
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,False,0.24147367,0.21309976,0.30110636,0.2443201
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.54981035,0.16228573,0.20756662,0.08033726
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,True,0.1709244,0.3931649,0.22710241,0.2088083
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,True,0.012357692,0.06906043,0.098346554,0.8202353
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.113155656,0.25549874,0.32615024,0.3051953
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.08491798,0.06212732,0.24002625,0.6129285
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.026488377,0.055206515,0.18539837,0.73290676
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.0855761,0.47544435,0.27142963,0.16754988
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.0911174,0.23041527,0.3989002,0.27956715
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.04257373,0.44017613,0.27979296,0.2374572
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.7582152,0.04018393,0.18009189,0.02150891
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.027616214,0.79455173,0.123284765,0.054547243
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.012033249,0.056738608,0.8980032,0.03322487
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.08245469,0.71788645,0.12745912,0.07219974
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.024889102,0.80512094,0.109815866,0.060174126
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.59145886,0.10113728,0.23161861,0.07578532
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.023065403,0.07132451,0.87231123,0.033298798
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,True,0.24773966,0.073231705,0.55828995,0.12073867
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.47537133,0.0525083,0.22063684,0.25148353
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.025739478,0.056385137,0.803081,0.11479444
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,True,0.10901382,0.5150217,0.20446174,0.1715028
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,True,0.00959984,0.106692374,0.25148204,0.63222575
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,True,0.043184146,0.06847104,0.3305076,0.5578372
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.1848348,0.1663333,0.42061925,0.22821265
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.21988045,0.45871794,0.20405242,0.117349215
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.56960565,0.11238129,0.2132622,0.10475087
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.06515465,0.15660346,0.386841,0.39140093
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,True,0.02081692,0.023960128,0.33728302,0.6179399
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.054194037,0.20293452,0.38061547,0.362256
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.059521504,0.16290604,0.58951867,0.18805382
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,True,0.018772492,0.16216959,0.21652481,0.6025331
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,True,0.014207322,0.071310155,0.10788882,0.80659366
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.035553657,0.28852826,0.15346083,0.5224572
What is the optimal span of control?,2,5,7,None of the above,D,True,0.04023559,0.29269376,0.31401458,0.35305607
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.04497078,0.19842038,0.49882877,0.25778005
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.05799991,0.23911516,0.49835882,0.20452604
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.069539234,0.3432884,0.3863466,0.20082583
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.13915814,0.70670336,0.124740556,0.02939791
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.02484385,0.03817946,0.11426143,0.8227153
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,True,0.025533102,0.061370477,0.08066505,0.8324314
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,True,0.10510604,0.5267817,0.25374186,0.11437041
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.018538076,0.7760382,0.15029503,0.05512871
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.025327673,0.8387373,0.10767992,0.028255058
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,True,0.03505994,0.092551224,0.28285936,0.5895295
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,False,0.03713675,0.1171019,0.6738749,0.17188635
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.04517535,0.1060666,0.36022308,0.48853493
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,True,0.07201138,0.41713753,0.27930182,0.23154932
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.79831934,0.0580564,0.08887192,0.0547524
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,True,0.21121374,0.5435834,0.16385214,0.08135067
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,True,0.019479575,0.25459626,0.6813349,0.04458919
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.021752812,0.03382328,0.08898204,0.8554418
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.04471506,0.117578626,0.5500868,0.28761956
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.06015316,0.13450232,0.5257694,0.2795751
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,True,0.0065388014,0.029212013,0.94058675,0.023662385
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,True,0.028141236,0.023512881,0.8892345,0.059111383
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.17046498,0.18075158,0.46518543,0.18359801
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.35495254,0.19449794,0.294266,0.15628348
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,True,0.09175479,0.48642775,0.21585101,0.20596646
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,True,0.027550466,0.09786584,0.14149296,0.73309076
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.042849798,0.24562222,0.5984959,0.11303208
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,True,0.04701058,0.05517604,0.6695612,0.2282521
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.010595279,0.065861695,0.87521625,0.048326816
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.012304595,0.016687505,0.9363637,0.034644153
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,0.053749178,0.067945324,0.20928633,0.66901916
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,True,0.05617758,0.123907246,0.6317158,0.1881994
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,True,0.0116440905,0.0360067,0.23756087,0.71478826
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,True,0.05401826,0.44527724,0.34950212,0.15120235
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,True,0.04398916,0.17915298,0.3193747,0.45748317
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,True,0.027161999,0.04239928,0.8516123,0.07882645
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.20145157,0.25218385,0.4602275,0.08613705
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,True,0.2824441,0.03263148,0.11659601,0.5683284
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,False,0.07709939,0.2776456,0.3415099,0.3037452
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.9632459,0.021956403,0.0097430935,0.005054651
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,True,0.067114815,0.16774087,0.18422732,0.580917
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,True,0.014941982,0.015781878,0.1275752,0.841701
